"Cabo flex hepr 90C 0,6/1kV ",
"Cabo flex hepr 90","Diametro condutor (mm)","Espessura Isolador","Espessura Cobertura (mm)","Diametro Externo (mm)","Peso liquido em kg/100m","resistencia eletrica max. ohms/km a 20C"
1.5,1.5,0.7,0.9,4.7,3.3,13.3
2.5,1.9,0.7,0.9,5.1,4.4,7.98
4,2.5,0.7,0.9,5.7,5.9,4.95
6,3,0.7,0.9,6.2,7.9,3.3
10,4.1,0.7,1,7.7,12.3,1.91
16,5.1,0.7,1,8.6,17.8,1.21
25,6.5,0.9,1.1,10.4,27.4,0.78
35,7.3,0.9,1.1,11.3,36.1,0.554
50,9.1,1,1.2,14,50.9,0.386
70,10.8,1.1,1.2,15.4,68.5,0.272
95,12.2,1.1,1.3,17,89.9,0.206
120,14,1.2,1.3,19,113,0.161
150,15.5,1.4,1.4,21.2,142.3,0.129
185,17.4,1.6,1.4,23.4,171.2,0.106
240,20,1.7,1.5,27.3,227.7,0.0801
300,23,1.8,1.6,29.8,286.7,0.0641
400,27,2,1.7,33.9,384.2,0.0486
500,30,2.2,1.8,38,473.8,0.0384
